AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,0.0290697682648897,0.0406976751983166,0.255813956260681,0.0116279069334269,0.0232558138668537,0.0116279069334269,0.00581395346671343,0.0930232554674149,0.372093021869659,0,0.0348837226629257,0.0232558138668537,0.0581395365297794,0.0348837226629257,0.0639534890651703,0.215116277337074,0.238372087478638,0.0116279069334269,0.0116279069334269,0.0116279069334269,0.0116279069334269,0,0.377906978130341,0.0581395365297794,0.0232558138668537,0.0290697682648897,0,0,0.00581395346671343,0.00581395346671343,0,0.145348832011223,0.0232558138668537,0.0290697682648897,0.139534890651703,0.0116279069334269,0.00581395346671343,0.00581395346671343,0.308139532804489,0.0232558138668537,0.31395348906517,0.162790700793266,0.0406976751983166,0,0.0639534890651703,0,0.145348832011223,0.00581395346671343,0.0348837226629257
0.116279073059559,0,0.139534890651703,0.0930232554674149,0.0930232554674149,0.116279073059559,0,0,0.116279073059559,0.0465116277337074,0.0232558138668537,0.116279073059559,0.0232558138668537,0,0.0697674453258514,0.0697674453258514,0.0697674453258514,0.162790700793266,0.0232558138668537,0,0.0232558138668537,0,0.0465116277337074,0.0930232554674149,0,0.232558146119118,0.0232558138668537,0.0697674453258514,0,0,0.0697674453258514,0,0,0.116279073059559,0.0465116277337074,0.209302321076393,0,0.0232558138668537,0,0,0.0930232554674149,0.139534890651703,0.0697674453258514,0.139534890651703,0,0,0,0.0697674453258514,0.0697674453258514,0.279069781303406
0.0673076957464218,0.0576923079788685,0,0.0769230797886848,0.0961538478732109,0.134615391492844,0,0.0192307699471712,0.134615391492844,0.125,0.0480769239366055,0.0480769239366055,0.0480769239366055,0.0192307699471712,0.0480769239366055,0.0673076957464218,0.0480769239366055,0.0961538478732109,0,0.00961538497358561,0.0192307699471712,0.0192307699471712,0.0288461539894342,0.125,0.0865384638309479,0.0480769239366055,0.0384615398943424,0.115384615957737,0.00961538497358561,0,0.144230768084526,0.0576923079788685,0.0576923079788685,0.0288461539894342,0.0480769239366055,0.134615391492844,0.0865384638309479,0.0192307699471712,0,0.0480769239366055,0.0288461539894342,0.0576923079788685,0.15384615957737,0.105769231915474,0.0192307699471712,0.00961538497358561,0.0769230797886848,0.0288461539894342,0.0288461539894342,0.0769230797886848
0.34375,0.03125,0.0625,0,0.0078125,0.0625,0.0078125,0.0078125,0.0859375,0.2265625,0.015625,0.0703125,0.0390625,0.0546875,0.1328125,0.1875,0.1796875,0.1796875,0.0078125,0,0.0078125,0.0078125,0,0.3359375,0.1640625,0.015625,0.109375,0.0078125,0,0,0.0390625,0,0.09375,0.0390625,0.0234375,0.203125,0.015625,0.0078125,0.015625,0.1875,0.046875,0.2421875,0.1171875,0.0078125,0,0.0390625,0,0.1328125,0.015625,0.03125
0.00985221657902002,0.01970443315804,0.0492610819637775,0.00492610828951001,0,0.0886699482798576,0.0985221639275551,0.0344827584922314,0.0837438404560089,0.0591133013367653,0.0443349741399288,0.01970443315804,0.0788177326321602,0.01970443315804,0.00985221657902002,0.00985221657902002,0.01970443315804,0.01970443315804,0.01970443315804,0.01970443315804,0.172413796186447,0.0443349741399288,0.0443349741399288,0.01970443315804,0.0147783253341913,0.00492610828951001,0.00492610828951001,0.0394088663160801,0.0295566506683826,0.211822658777237,0.0591133013367653,0.275862067937851,0.00985221657902002,0,0.0443349741399288,0.01970443315804,0.0837438404560089,0.0985221639275551,0.0344827584922314,0.0246305409818888,0,0.01970443315804,0.108374387025833,0.0246305409818888,0.0394088663160801,0.0344827584922314,0.0837438404560089,0,0.0246305409818888,0.00985221657902002
0.0317460335791111,0.0396825410425663,0.111111111938953,0.0634920671582222,0.142857149243355,0,0.0476190485060215,0.0158730167895556,0.0476190485060215,0.0396825410425663,0.0634920671582222,0.0476190485060215,0.095238097012043,0.0793650820851326,0.119047619402409,0.0555555559694767,0.0476190485060215,0.0555555559694767,0.0634920671582222,0.0396825410425663,0.095238097012043,0.0634920671582222,0.095238097012043,0.0555555559694767,0.0714285746216774,0.0555555559694767,0.0555555559694767,0.15079365670681,0.0634920671582222,0.0158730167895556,0.16666667163372,0.142857149243355,0.0555555559694767,0.0396825410425663,0.0634920671582222,0.111111111938953,0.214285716414452,0.0873015895485878,0.0238095242530108,0.0158730167895556,0.0396825410425663,0.0317460335791111,0.0634920671582222,0.0634920671582222,0.0317460335791111,0.0476190485060215,0.103174604475498,0.00793650839477778,0.0873015895485878,0.095238097012043
0.0151515156030655,0,0,0.00757575780153275,0.151515156030655,0.0454545468091965,0,0.174242421984673,0.0378787890076637,0.0151515156030655,0.0227272734045982,0.00757575780153275,0.0909090936183929,0.00757575780153275,0.0151515156030655,0.00757575780153275,0.00757575780153275,0,0.128787875175476,0.181818187236786,0.363636374473572,0.060606062412262,0.0681818202137947,0.00757575780153275,0,0,0,0.00757575780153275,0.128787875175476,0.318181812763214,0,0.272727280855179,0.030303031206131,0,0.0681818202137947,0,0.0530303046107292,0.181818187236786,0.181818187236786,0.030303031206131,0,0.00757575780153275,0.0227272734045982,0.00757575780153275,0.151515156030655,0.0681818202137947,0.030303031206131,0.0151515156030655,0.0227272734045982,0.0151515156030655
0.0136986300349236,0,0.0273972600698471,0.0136986300349236,0.0958904102444649,0.0273972600698471,0.315068483352661,0,0.0273972600698471,0.0273972600698471,0.0410958901047707,0,0.0684931501746178,0.0273972600698471,0,0,0,0.0136986300349236,0.0821917802095413,0.219178080558777,0.232876718044281,0.0410958901047707,0,0,0.0136986300349236,0.0136986300349236,0.0136986300349236,0.0410958901047707,0.15068493783474,0.273972600698471,0.0136986300349236,0.273972600698471,0.0684931501746178,0.0136986300349236,0.109589040279388,0.0273972600698471,0.0547945201396942,0.136986300349236,0.178082197904587,0.0410958901047707,0,0.0136986300349236,0.0136986300349236,0,0.164383560419083,0.0958904102444649,0.0410958901047707,0,0.0273972600698471,0.0136986300349236
0.109589040279388,0.0342465750873089,0.0958904102444649,0.0753424689173698,0.116438359022141,0.0410958901047707,0.0342465750873089,0.0136986300349236,0,0.123287670314312,0.061643835157156,0.00684931501746178,0.0684931501746178,0.0273972600698471,0.00684931501746178,0.0136986300349236,0.0753424689173698,0.130136981606483,0.0205479450523853,0.00684931501746178,0.0479452051222324,0.0684931501746178,0.0136986300349236,0.0958904102444649,0.0273972600698471,0.00684931501746178,0.00684931501746178,0.061643835157156,0.00684931501746178,0.061643835157156,0.0273972600698471,0.184931501746178,0.0684931501746178,0.0273972600698471,0.0958904102444649,0.0547945201396942,0.0410958901047707,0.0753424689173698,0.0205479450523853,0.15068493783474,0.00684931501746178,0.109589040279388,0.15068493783474,0.0136986300349236,0,0.0753424689173698,0.061643835157156,0.0479452051222324,0.0410958901047707,0.0136986300349236
0.27118644118309,0.00847457628697157,0.0550847463309765,0.122881352901459,0.0508474558591843,0.0211864411830902,0.00847457628697157,0.00847457628697157,0.0762711837887764,0,0.0127118639647961,0.0127118639647961,0.0169491525739431,0.0593220330774784,0.0211864411830902,0.0550847463309765,0.144067794084549,0.169491529464722,0.00847457628697157,0.0296610165387392,0.0169491525739431,0.0338983051478863,0.00423728814348578,0.245762705802918,0.0677966102957726,0.0211864411830902,0.0338983051478863,0.0169491525739431,0,0.0169491525739431,0.0127118639647961,0.0338983051478863,0.173728808760643,0.0127118639647961,0.0720338970422745,0.105932205915451,0.0254237279295921,0.0338983051478863,0.0127118639647961,0.245762705802918,0.0169491525739431,0.233050853013992,0.152542367577553,0.0127118639647961,0.0127118639647961,0.105932205915451,0.0127118639647961,0.0720338970422745,0.0127118639647961,0.0254237279295921
